year,race,driver,real_time_seconds,Driver_x,Event,HistAvgGapToPole,Driver_y,DriverOverallAvg,BaselinePredGap,ActualPole2025,ActualGapToPole2025,BaselineError
2025,Canadian Grand Prix,LEC,71.626,LEC,Canadian Grand Prix,3.8069999999999986,LEC,0.7576015625000003,3.8069999999999986,70.899,0.7270000000000039,3.0799999999999947
2025,Canadian Grand Prix,NOR,71.599,NOR,Canadian Grand Prix,3.790749999999999,NOR,1.0998046875000003,3.790749999999999,70.899,0.7000000000000028,3.0907499999999963
2025,Canadian Grand Prix,OCO,72.378,OCO,Canadian Grand Prix,1.8679999999999997,OCO,1.7903238095238099,1.8679999999999997,70.899,1.4789999999999992,0.38900000000000046
2025,Canadian Grand Prix,PIA,71.12,PIA,Canadian Grand Prix,0.6475000000000009,PIA,0.7748913043478266,0.6475000000000009,70.899,0.22100000000000364,0.4264999999999972
2025,Canadian Grand Prix,RUS,70.899,RUS,Canadian Grand Prix,1.7520000000000024,RUS,1.7283437499999998,1.7520000000000024,70.899,0.0,1.7520000000000024
2025,Canadian Grand Prix,SAI,72.398,SAI,Canadian Grand Prix,1.0614999999999988,SAI,0.9011746031746035,1.0614999999999988,70.899,1.4989999999999952,0.43749999999999645
2025,Canadian Grand Prix,STR,72.517,STR,Canadian Grand Prix,4.983750000000001,STR,2.286904,4.983750000000001,70.899,1.617999999999995,3.3657500000000056
2025,Canadian Grand Prix,TSU,72.102,TSU,Canadian Grand Prix,6.61933333333333,TSU,1.9705172413793104,6.61933333333333,70.899,1.203000000000003,5.416333333333327
2025,Canadian Grand Prix,VER,71.059,VER,Canadian Grand Prix,0.5010000000000012,VER,0.3226587301587303,0.5010000000000012,70.899,0.1599999999999966,0.34100000000000463
2025,Austrian Grand Prix,ALB,65.143,ALB,Austrian Grand Prix,1.2266000000000048,ALB,1.749718446601942,1.2266000000000048,63.971,1.1720000000000041,0.05460000000000065
2025,Austrian Grand Prix,ALO,65.128,ALO,Austrian Grand Prix,0.9072500000000012,ALO,1.1108,0.9072500000000012,63.971,1.1570000000000036,0.24975000000000236
2025,Austrian Grand Prix,ANT,65.052,,,,,,,63.971,1.0810000000000102,
2025,Austrian Grand Prix,BEA,65.218,,,,BEA,3.532333333333336,3.532333333333336,63.971,1.247000000000007,2.285333333333329
2025,Austrian Grand Prix,BOR,64.846,,,,,,,63.971,0.8750000000000071,
2025,Austrian Grand Prix,COL,65.278,,,,COL,2.2035555555555564,2.2035555555555564,63.971,1.3070000000000093,0.8965555555555471
2025,Austrian Grand Prix,GAS,64.846,GAS,Austrian Grand Prix,0.9563333333333345,GAS,1.7837499999999997,0.9563333333333345,63.971,0.8750000000000071,0.08133333333332737
2025,Austrian Grand Prix,HAD,65.063,,,,,,,63.971,1.0920000000000059,
2025,Austrian Grand Prix,HAM,64.582,HAM,Austrian Grand Prix,0.34550000000000125,HAM,0.6594803149606296,0.34550000000000125,63.971,0.6109999999999971,0.26549999999999585
2025,Austrian Grand Prix,HUL,65.606,HUL,Austrian Grand Prix,1.053333333333337,HUL,1.9244583333333343,1.053333333333337,63.971,1.634999999999998,0.581666666666661
